Mon Sep 14 22:44:10 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=17.0, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 22:44:10.359]
Mon Sep 14 22:44:22 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=20.5, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 22:44:22.953]
Mon Sep 14 22:44:34 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=20.5, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 22:44:34.171]
Mon Sep 14 22:45:33 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=21.0, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 22:45:33.554]
Mon Sep 14 23:03:44 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=21.0, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 23:03:44.859]
Mon Sep 14 23:04:06 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=20.5, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 23:04:06.601]
Mon Sep 14 23:07:13 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=20.5, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 23:07:13.941]
Mon Sep 14 23:07:31 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=21.0, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 23:07:31.683]
Mon Sep 14 23:09:30 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=13.0, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 23:09:30.477]
Mon Sep 14 23:10:03 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=20.5, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 23:10:03.276]
Mon Sep 14 23:10:08 CEST 2020 - UPDATE [admin] - table:constantes - ModelConstantes [clave=ivaEnvio, valorDouble=21.0, valorString100=null, valorText=null, modificadoPor=admin, fechaModificacion=2020-09-14 23:10:08.778]
