Wed Sep 23 20:34:51 CEST 2020 - UPDATE [admin] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=85, tema=default, botonFavorito=default, recibirPublicidad=true]
Wed Sep 23 20:42:23 CEST 2020 - UPDATE [admin] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=85, tema=default, botonFavorito=rabbit, recibirPublicidad=true]
Wed Sep 23 20:42:50 CEST 2020 - UPDATE [admin] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=85, tema=default, botonFavorito=cat, recibirPublicidad=true]
Wed Sep 23 21:35:25 CEST 2020 - UPDATE [admin] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=85, tema=red, botonFavorito=default, recibirPublicidad=true]
Wed Sep 23 21:48:18 CEST 2020 - UPDATE [admin] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=85, tema=blue, botonFavorito=default, recibirPublicidad=true]
Wed Sep 23 21:48:29 CEST 2020 - UPDATE [admin] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=85, tema=red, botonFavorito=rabbit, recibirPublicidad=false]
Wed Sep 23 21:48:43 CEST 2020 - UPDATE [admin] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=85, tema=default, botonFavorito=cat, recibirPublicidad=true]
Wed Sep 23 22:10:22 CEST 2020 - UPDATE [cliente] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=84, tema=red, botonFavorito=default, recibirPublicidad=true]
Wed Sep 23 22:11:17 CEST 2020 - UPDATE [pepe] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=1, tema=default, botonFavorito=rabbit, recibirPublicidad=true]
Wed Sep 23 22:11:38 CEST 2020 - UPDATE [pepe] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=1, tema=default, botonFavorito=rabbit, recibirPublicidad=false]
Wed Sep 23 22:12:34 CEST 2020 - UPDATE [pepe] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=1, tema=blue, botonFavorito=rabbit, recibirPublicidad=false]
Wed Sep 23 22:12:59 CEST 2020 - UPDATE [pepe] - table:preferenciausuario - ModelPreferenciaUsuario [idPrefUsr=1, tema=blue, botonFavorito=default, recibirPublicidad=false]
