Mon Oct 19 21:25:13 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=9, booleanOferta=true, ordenOferta=4, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-19 21:25:13.629, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 22:41:40 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=5, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-19 22:41:40.625, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:04:31 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=6, booleanOferta=true, ordenOferta=6, precioSinOferta=45.0, precioConOferta=41.0, fecha=2020-10-19 23:04:31.717, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:49:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=0, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-19 22:41:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:49:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=2, precioSinOferta=12.0, precioConOferta=11.5, fecha=2020-10-18 21:58:47.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:49:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=3, precioSinOferta=1.2, precioConOferta=1.0, fecha=2020-10-18 21:58:55.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:49:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=4, precioSinOferta=2.5, precioConOferta=2.0, fecha=2020-10-18 22:19:37.0, booleanPopular=true, ordenPopular=1, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:49:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=9, booleanOferta=true, ordenOferta=5, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-19 21:25:13.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:49:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=6, booleanOferta=true, ordenOferta=6, precioSinOferta=45.0, precioConOferta=41.0, fecha=2020-10-19 23:04:31.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:49:50 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=8, booleanOferta=true, ordenOferta=1, precioSinOferta=12.5, precioConOferta=11.0, fecha=2020-10-19 22:41:40.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:50:19 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=9, booleanOferta=true, ordenOferta=0, precioSinOferta=2.0, precioConOferta=1.6, fecha=2020-10-19 21:25:13.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Mon Oct 19 23:50:19 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=true, ordenOferta=3, precioSinOferta=12.0, precioConOferta=11.5, fecha=2020-10-18 21:58:47.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
