Tue Oct 20 00:09:21 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=3, booleanOferta=true, ordenOferta=2, precioSinOferta=1.5, precioConOferta=0.0, fecha=2020-10-20 00:09:21.83, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:10:09 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=3, precioSinOferta=2.0, precioConOferta=0.0, fecha=2020-10-20 00:10:09.397, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:13:05 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=4, precioSinOferta=2.5, precioConOferta=0.0, fecha=2020-10-20 00:13:05.338, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:16:25 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=9, booleanOferta=true, ordenOferta=5, precioSinOferta=2.0, precioConOferta=0.0, fecha=2020-10-20 00:16:25.417, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:16:53 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=true, ordenOferta=6, precioSinOferta=30.0, precioConOferta=0.0, fecha=2020-10-20 00:16:53.352, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:08 CEST 2020 - SAVE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=12, booleanOferta=true, ordenOferta=7, precioSinOferta=1.2, precioConOferta=1.1, fecha=2020-10-20 00:20:08.515, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:30 CEST 2020 - DELETE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=3, booleanOferta=true, ordenOferta=2, precioSinOferta=1.5, precioConOferta=0.0, fecha=2020-10-20 00:09:21.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:30 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=4, booleanOferta=true, ordenOferta=2, precioSinOferta=2.0, precioConOferta=0.0, fecha=2020-10-20 00:10:09.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:30 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=true, ordenOferta=3, precioSinOferta=2.5, precioConOferta=0.0, fecha=2020-10-20 00:13:05.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:30 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=9, booleanOferta=true, ordenOferta=4, precioSinOferta=2.0, precioConOferta=0.0, fecha=2020-10-20 00:16:25.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
Tue Oct 20 00:20:30 CEST 2020 - UPDATE [pepe] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=true, ordenOferta=5, precioSinOferta=30.0, precioConOferta=0.0, fecha=2020-10-20 00:16:53.0, booleanPopular=false, ordenPopular=0, booleanNovedades=false, ordenNovedades=0, idCam=0]
