Sat Oct 24 18:53:41 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=10, booleanOferta=false, ordenOferta=0, precioSinOferta=0.0, precioConOferta=0.0, fecha=null, booleanPopular=true, ordenPopular=2, booleanNovedades=true, ordenNovedades=1, idCam=0]
Sat Oct 24 18:53:47 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=true, ordenOferta=5, precioSinOferta=30.0, precioConOferta=24.0, fecha=2020-10-22 17:52:11.0, booleanPopular=true, ordenPopular=3, booleanNovedades=true, ordenNovedades=2, idCam=0]
Sat Oct 24 18:53:51 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=6, booleanOferta=true, ordenOferta=3, precioSinOferta=45.0, precioConOferta=40.0, fecha=2020-10-22 17:51:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=3, idCam=0]
Sat Oct 24 21:57:05 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=false, ordenOferta=0, precioSinOferta=0.0, precioConOferta=0.0, fecha=null, booleanPopular=true, ordenPopular=1, booleanNovedades=true, ordenNovedades=4, idCam=0]
Sat Oct 24 21:57:12 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=11, booleanOferta=true, ordenOferta=5, precioSinOferta=30.0, precioConOferta=24.0, fecha=2020-10-22 17:52:11.0, booleanPopular=true, ordenPopular=3, booleanNovedades=false, ordenNovedades=2, idCam=0]
Sat Oct 24 21:57:12 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=6, booleanOferta=true, ordenOferta=3, precioSinOferta=45.0, precioConOferta=40.0, fecha=2020-10-22 17:51:51.0, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=2, idCam=0]
Sat Oct 24 21:57:12 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=false, ordenOferta=0, precioSinOferta=0.0, precioConOferta=0.0, fecha=null, booleanPopular=true, ordenPopular=1, booleanNovedades=true, ordenNovedades=3, idCam=0]
Sat Oct 24 21:57:19 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=false, ordenOferta=0, precioSinOferta=0.0, precioConOferta=0.0, fecha=null, booleanPopular=true, ordenPopular=1, booleanNovedades=false, ordenNovedades=3, idCam=0]
Sat Oct 24 22:00:30 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=false, ordenOferta=0, precioSinOferta=0.0, precioConOferta=0.0, fecha=null, booleanPopular=true, ordenPopular=1, booleanNovedades=true, ordenNovedades=3, idCam=0]
Sat Oct 24 22:00:33 CEST 2020 - SAVE [admin] - table:administracionofertas - AdministracionOfertas [idPro=14, booleanOferta=false, ordenOferta=0, precioSinOferta=0.0, precioConOferta=0.0, fecha=null, booleanPopular=false, ordenPopular=0, booleanNovedades=true, ordenNovedades=4, idCam=0]
Sat Oct 24 22:00:41 CEST 2020 - UPDATE [admin] - table:administracionofertas - AdministracionOfertas [idPro=7, booleanOferta=false, ordenOferta=0, precioSinOferta=0.0, precioConOferta=0.0, fecha=null, booleanPopular=true, ordenPopular=1, booleanNovedades=true, ordenNovedades=0, idCam=0]
